Title,Authors,Topics,Abstract,Code,Dataset,PDF,Paper Page
3D Spine Shape Estimation from Single 2D DXA,"Bourigault, Emmanuelle;Jamaludin, Amir;Zisserman, Andrew","Computer Aided Diagnosis, Treatment Response, and Outcome Prediction; Imaging-related Clinical Studies","Scoliosis is currently assessed solely on 2D lateral deviations, but recent studies have also revealed the importance of other imaging planes in understanding the deformation of the spine. Consequently, extracting the spinal geometry in 3D would help quantify these spinal deformations and aid diagnosis. In this study, we propose an automated general framework to estimate the {\em 3D }spine shape from {\em 2D} DXA scans. We achieve this by explicitly predicting the sagittal view of the spine from the DXA scan. Using these two orthogonal projections of the spine (coronal in DXA, and sagittal from the prediction), we are able to describe the 3D shape of the spine. The prediction is learnt from over 30k paired images of DXA and MRI scans. We assess the performance of the method on a held out test set, and achieve high accuracy. Our code is available at \href{https://github.com/EmmanuelleB985/DXA_to_3D}{https://github.com/EmmanuelleB985/DXA-to-3D.}",https://github.com/EmmanuelleB985/DXA-to-3D,https://www.ukbiobank.ac.uk/,https://papers.miccai.org/miccai-2024/paper/1861_paper.pdf,https://papers.miccai.org/miccai-2024/001-Paper1861.html
3D Vessel Graph Generation Using Denoising Diffusion,"Prabhakar, Chinmay;Shit, Suprosanna;Musio, Fabio;Yang, Kaiyuan;Amiranashvili, Tamaz;Paetzold, Johannes C.;Li, Hongwei Bran;Menze, Bjoern",Clinical applications - Vascular; Machine Learning - Other; Modalities - MRI,"Blood vessel networks, represented as 3D graphs, help predict disease biomarkers, simulate blood flow, and aid in synthetic image generation, relevant in both clinical and pre-clinical settings. However, generating realistic vessel graphs that correspond to an anatomy of interest is challenging. Previous methods aimed at generating vessel trees mostly in an autoregressive style and could not be applied to vessel graphs with cycles such as capillaries or specific anatomical structures such as the Circle of Willis. Addressing this gap, we introduce the first application of \textit{denoising diffusion models} in 3D vessel graph generation. Our contributions include a novel, two-stage generation method that sequentially denoises node coordinates and edges. We experiment with two real-world vessel datasets, consisting of microscopic capillaries and major cerebral vessels, and demonstrate the generalizability of our method for producing diverse, novel, and anatomically plausible vessel graphs.",https://github.com/chinmay5/vessel_diffuse,,https://papers.miccai.org/miccai-2024/paper/1908_paper.pdf,https://papers.miccai.org/miccai-2024/002-Paper1908.html
3DDX: Bone Surface Reconstruction from a Single Standard-Geometry Radiograph via Dual-Face Depth Estimation,"Gu, Yi;Otake, Yoshito;Uemura, Keisuke;Takao, Masaki;Soufi, Mazen;Okada, Seiji;Sugano, Nobuhiko;Talbot, Hugues;Sato, Yoshinobu",Image Formation and Reconstruction; Modalities - CT; Modalities - other,"Radiography is widely used in orthopedics for its affordability and low radiation exposure. 3D reconstruction from a single radiograph, so-called 2D-3D reconstruction, offers the possibility of various clinical applications, but achieving clinically viable accuracy and computational efficiency is still an unsolved challenge. Unlike other areas in computer vision, X-ray imaging’s unique properties, such as ray penetration and standard geometry, have not been fully exploited. We propose a novel approach that simultaneously learns multiple depth maps (front and back surfaces of multiple bones) derived from the X-ray image to computed tomography (CT) registration. The proposed method not only leverages the standard geometry characteristic of X-ray imaging but also enhances the precision of the reconstruction of the whole surface. Our study involved 600 CT and 2651 X-ray images (4 to 5 posed X-ray images per patient), demonstrating our method’s superiority over traditional approaches with a surface reconstruction error reduction from 4.78 mm to 1.96 mm and further to 1.76 mm using higher resolution and pretraining. This significant accuracy improvement and enhanced computational efficiency suggest our approach’s potential for clinical application.",https://github.com/Kayaba-Akihiko/3DDX,,https://papers.miccai.org/miccai-2024/paper/1001_paper.pdf,https://papers.miccai.org/miccai-2024/003-Paper1001.html
3DGPS: A 3D Differentiable-Gaussian-based Planning Strategy for Liver Tumor Cryoablation,"Wang, Ce;Huang, Xiaoyu;Kong, Yaqing;Li, Qian;Hao, You;Zhou, Xiang",Surgical Planning and Simulation; Image-Guided Interventions and Surgery; Modalities - CT,"Effective preoperative planning is crucial for successful cryoablation of liver tumors. However, conventional planning methods rely heavily on clinicians’ experience, which may not always lead to an optimal solution due to the intricate 3D anatomical structures and clinical constraints. Lots of planning methods have been proposed, but lack interactivity between multiple probes and are difficult to adapt to diverse clinical scenarios. To bridge the gap, we present a novel 3D Differentiable-Gaussian-based Planning Strategy (3DGPS) for cryoablation of liver tumor considering both the probe interactivity and several clinical constraints. Especially, the problem is formulated to search the minimal circumscribed tumor ablation region, which is generated by multiple 3D ellipsoids, each from one cryoprobe. These ellipsoids are parameterized by the differentiable Gaussians and optimized mainly within two stages, fitting and circumscribing, with formulated clinical constraints in an end-to-end manner. Quantitative and qualitative experiments on LiTS and in-house datasets verify the effectiveness of 3DGPS.",,,https://papers.miccai.org/miccai-2024/paper/0132_paper.pdf,https://papers.miccai.org/miccai-2024/004-Paper0132.html
3DGR-CAR: Coronary artery reconstruction from ultra-sparse 2D X-ray views with a 3D Gaussians representation,"Fu, Xueming;Li, Yingtai;Tang, Fenghe;Li, Jun;Zhao, Mingyue;Teng, Gao-Jun;Zhou, S. Kevin",Clinical applications - Vascular; Image Formation and Reconstruction; Modalities - CT,"Reconstructing 3D coronary arteries is important for coronary artery disease diagnosis, treatment planning and operation navigation. Traditional techniques often require many projections, while reconstruction from sparse-view X-ray projections is a potential way of reducing radiation dose. However, the extreme sparsity of coronary artery volume and ultra-limited number of projections pose significant challenges for efficient and accurate 3D reconstruction. We propose 3DGR-CAR, a 3D Gaussian Representation for Coronary Artery Reconstruction from ultra-sparse X-ray projections. We leverage 3D Gaussian representation to avoid the inefficiency caused by the extreme sparsity of coronary artery data, and propose a Gaussian center predictor to overcome the noisy gaussian initialization from ultra-sparse view projections. The proposed scheme enables fast and accurate 3D coronary arteries reconstruction with only 2 views. Experimental results on two datasets indicate that the proposed approach significantly outperforms other methods in terms of voxel accuracy and visual quality of coronary artery.",https://github.com/windrise/3DGR-CAR,https://asoca.grand-challenge.org;https://github.com/XiaoweiXu/ImageCAS-A-Large-Scale-Dataset-and-Benchmark-for-Coronary-Artery-Segmentation-based-on-CT,https://papers.miccai.org/miccai-2024/paper/1015_paper.pdf,https://papers.miccai.org/miccai-2024/005-Paper1015.html
3DPX: Progressive 2D-to-3D Oral Image Reconstruction with Hybrid MLP-CNN Networks,"Li, Xiaoshuang;Meng, Mingyuan;Huang, Zimo;Bi, Lei;Delamare, Eduardo;Feng, Dagan;Sheng, Bin;Kim, Jinman",Image Formation and Reconstruction; Visualization in Biomedical Imaging,"Panoramic X-ray (PX) is a prevalent modality in dental practice for its wide availability and low cost. However, as a 2D projection image, PX does not contain 3D anatomical information, and therefore has limited use in dental applications that can benefit from 3D information, e.g., tooth angular misalignment detection and classification. Reconstructing 3D structures directly from 2D PX has recently been explored to address limitations with existing methods primarily reliant on Convolutional Neural Networks (CNNs) for direct 2D-to-3D mapping. These methods, however, are unable to correctly infer depth-axis spatial information. In addition, they are limited by the intrinsic locality of convolution operations, as the convolution kernels only capture the information of immediate neighborhood pixels. In this study, we propose a progressive hybrid Multilayer Perceptron (MLP)-CNN pyramid network (3DPX) for 2D-to-3D oral PX reconstruction. We introduce a progressive reconstruction strategy, where 3D images are progressively reconstructed in the 3DPX with guidance imposed on the intermediate reconstruction result at each pyramid level. Further, motivated by the recent advancement of MLPs that show promise in capturing fine-grained long-range dependency, our 3DPX integrates MLPs and CNNs to improve the semantic understanding during reconstruction. Extensive experiments on two large datasets involving 464 studies demonstrate that our 3DPX outperforms state-of-the-art 2D-to-3D oral reconstruction methods, including standalone MLP and transformers, in reconstruction quality, and also improves the performance of downstream angular misalignment classification tasks.",,,https://papers.miccai.org/miccai-2024/paper/2442_paper.pdf,https://papers.miccai.org/miccai-2024/006-Paper2442.html
3D-SAutoMed: Automatic Segment Anything Model for 3D Medical Image Segmentation from Local-Global Perspective,"Liang, Junjie;Cao, Peng;Yang, Wenju;Yang, Jinzhu;Zaiane, Osmar R.",Image Segmentation; Machine Learning - Foundation Models,"3D medical image segmentation is critical for clinical diagnosis and treatment planning. Recently, with the powerful generalization, the foundational segmentation model SAM is widely used in medical images. However, the existing SAM variants still have many limitations including lack of 3D-aware ability and automatic prompts. To address these limitations, we present a novel SAM-based segmentation framework in 3D medical images, namely 3D-SAutoMed. We respectively propose the Inter- and Intra-slice Attention and Historical slice Information Sharing strategy to share local and global information, so as to enable SAM to be 3D-aware. Meanwhile, we propose a Box Prompt Generator to automatically generate prompt embedding, leading full-automation in SAM. Our results demonstrate that 3D-SAutoMed outperforms advanced universal methods and SAM variants on both metrics and across BTCV, CHAOS and SegTHOR datasets. Particularly, a large improvement of HD score is achieved, e.g. 44% and 20.7% improvement compared with the best result in the other SAM variants on the BTCV and SegTHOR dataset, respectively.",,,https://papers.miccai.org/miccai-2024/paper/2090_paper.pdf,https://papers.miccai.org/miccai-2024/007-Paper2090.html
7T MRI Synthesization from 3T Acquisitions,"Cui, Qiming;Tosun, Duygu;Mukherjee, Pratik;Abbasi-Asl, Reza",Machine Learning - Other; Clinical applications - Neuroimaging - Others; Modalities - MRI,"Supervised deep learning techniques can be used to generate synthetic 7T MRIs from 3T MRI inputs. This image enhancement process leverages the advantages of ultra-high-field MRI to improve the signal-to-noise and contrast-to-noise ratios of 3T acquisitions. In this paper, we introduce multiple novel 7T synthesization algorithms based on custom-designed variants of the V-Net convolutional neural network. We demonstrate that the V-Net based model has superior performance in enhancing both single-site and multi-site MRI datasets compared to the existing benchmark model. When trained on 3T-7T MRI pairs from 8 subjects with mild Traumatic Brain Injury (TBI), our model achieves state-of-the-art 7T synthesization performance. Compared to previous works, synthetic 7T images generated from our pipeline also display superior enhancement of pathological tissue. Additionally, we implement and test a data augmentation scheme for training models that are robust to variations in the input distribution. This allows synthetic 7T models to accommodate intra-scanner and inter-scanner variability in multisite datasets. On a harmonized dataset consisting of 18 3T-7T MRI pairs from two institutions, including both healthy subjects and those with mild TBI, our model maintains its performance and can generalize to 3T MRI inputs with lower resolution. Our findings demonstrate the promise of V-Net based models for MRI enhancement and offer a preliminary probe into improving the generalizability of synthetic 7T models with data augmentation.",https://github.com/abbasilab/Synthetic_7T_MRI,,https://papers.miccai.org/miccai-2024/paper/3648_paper.pdf,https://papers.miccai.org/miccai-2024/008-Paper3648.html
A Bayesian Approach to Weakly-supervised Laparoscopic Image Segmentation,"Zheng, Zhou;Hayashi, Yuichiro;Oda, Masahiro;Kitasaka, Takayuki;Mori, Kensaku",Modalities - Endoscope; Image Segmentation; Machine Learning - Semi-/Weakly-/Un-/Self-supervised Representation Learning,"In this paper, we study weakly-supervised laparoscopic image segmentation with sparse annotations. We introduce a novel Bayesian deep learning approach designed to enhance both the accuracy and interpretability of the model’s segmentation, founded upon a comprehensive Bayesian framework, ensuring a robust and theoretically validated method. Our approach diverges from conventional methods that directly train using observed images and their corresponding weak annotations. Instead, we estimate the joint distribution of both images and labels given the acquired data. This facilitates the sampling of images and their high-quality pseudo-labels, enabling the training of a generalizable segmentation model. Each component of our model is expressed through probabilistic formulations, providing a coherent and interpretable structure. This probabilistic nature benefits accurate and practical learning from sparse annotations and equips our model with the ability to quantify uncertainty. Extensive evaluations with two public laparoscopic datasets demonstrated the efficacy of our method, which consistently outperformed existing methods. Furthermore, our method was adapted for scribble-supervised cardiac multi-structure segmentation, presenting competitive performance compared to previous methods. The code is available at https://github.com/MoriLabNU/Bayesian_WSS.",https://github.com/MoriLabNU/Bayesian_WSS,https://www.kaggle.com/datasets/newslab/cholecseg8k;https://autolaparo.github.io;https://www.creatis.insa-lyon.fr/Challenge/acdc;https://vios-s.github.io/multiscale-adversarial-attention-gates,https://papers.miccai.org/miccai-2024/paper/0219_paper.pdf,https://papers.miccai.org/miccai-2024/009-Paper0219.html
A Clinical-oriented Lightweight Network for High-resolution Medical Image Enhancement,"Wang, Yaqi;Chen, Leqi;Hou, Qingshan;Cao, Peng;Yang, Jinzhu;Liu, Xiaoli;Zaiane, Osmar R.",Imaging-related Clinical Studies; Image Formation and Reconstruction; Machine Learning - Interpretability / Explainability,"Medical images captured in less-than-optimal conditions may suffer from quality degradation, such as blur, artifacts, and low lighting, which potentially leads to misdiagnosis. Unfortunately, state-of-the-art medical image enhancement methods face challenges in both high-resolution image quality enhancement and local distinct anatomical structure preservation. To address these issues, we propose a Clinical-oriented High-resolution Lightweight Medical Image Enhancement Network, termed CHLNet, which proficiently addresses high-resolution medical image enhancement, detailed pathological characteristics, and lightweight network design simultaneously. More specifically, CHLNet comprises two main components: 1) High-resolution Assisted Quality Enhancement Network for removing global low-quality factors in high-resolution images thus enhancing overall image quality; 2) High-quality-semantic Guided Quality Enhancement Network for capturing semantic knowledge from high-quality images such that detailed structure preservation is enforced. Moreover, thanks to its lightweight design, CHLNet can be easily deployed on medical edge devices. Extensive experiments on three public medical image datasets demonstrate the effectiveness and superiority of CHLNet over the state-of-the-art.",,,https://papers.miccai.org/miccai-2024/paper/2774_paper.pdf,https://papers.miccai.org/miccai-2024/010-Paper2774.html
A Clinical-oriented Multi-level Contrastive Learning Method for Disease Diagnosis in Low-quality Medical Images,"Hou, Qingshan;Cheng, Shuai;Cao, Peng;Yang, Jinzhu;Liu, Xiaoli;Tham, Yih Chung;Zaiane, Osmar R.",Imaging-related Clinical Studies; Machine Learning - Interpretability / Explainability; Machine Learning - Semi-/Weakly-/Un-/Self-supervised Representation Learning,"Representation learning offers a conduit to elucidate distinctive features within the latent space and interpret the deep models. However, the randomness of lesion distribution and the complexity of low-quality factors in medical images pose great challenges for models to extract key lesion features. Disease diagnosis methods guided by contrastive learning (CL) have shown significant advantages in lesion feature representation. Nevertheless, the effectiveness of CL is highly dependent on the quality of the positive and negative sample pairs. In this work, we propose a clinical-oriented multi-level CL framework that aims to enhance the model’s capacity to extract lesion features and discriminate between lesion and low-quality factors, thereby enabling more accurate disease diagnosis from low-quality medical images. Specifically, we first construct multi-level positive and negative pairs to enhance the model’s comprehensive recognition capability of lesion features by integrating information from different levels and qualities of medical images. Moreover, to improve the quality of the learned lesion embeddings, we introduce a dynamic hard sample mining method based on self-paced learning. The proposed CL framework is validated on two public medical image datasets, EyeQ and Chest X-ray, demonstrating superior performance compared to other state-of-the-art disease diagnostic methods.",,,https://papers.miccai.org/miccai-2024/paper/2364_paper.pdf,https://papers.miccai.org/miccai-2024/011-Paper2364.html
A Curvature-Guided Coarse-to-Fine Framework for Enhanced Whole Brain Segmentation,"Zhao, Fenqiang;Tang, Yuxing;Lu, Le;Zhang, Ling",Image Segmentation; Clinical applications - Neuroimaging - Others; Image Registration; Modalities - MRI,"Whole brain segmentation, which divides the entire brain volume into anatomically labeled regions of interest (ROIs), is a crucial step in brain image analysis. Traditional methods often rely on intricate pipelines that, while accurate, are time-consuming and require expertise due to their complexity. Alternatively, end-to-end deep learning methods offer rapid whole brain segmentation but often sacrifice accuracy due to neglect of geometric features. In this paper, we propose a novel framework that integrates the key curvature feature, previously utilized by complex surface-based pipelines but overlooked by volume-based methods, into deep neural networks, thereby achieving both high accuracy and efficiency. Specifically, we first train a coarse anatomical segmentation model focusing on high-contrast tissue types, i.e., white matter (WM), gray matter (GM), and subcortical regions. Next, we reconstruct the cortical surfaces using the WM/GM interface and compute curvature features for each vertex on the surfaces. These curvature features are then mapped back to the image space, where they are combined with intensity features to train a finer cortical parcellation model. We also simplify the process of cortical surface reconstruction and curvature computation, thereby enhancing the overall efficiency of the framework. Additionally, our framework is flexible and can incorporate any neural network as its backbone. It can serve as a plug-and-play component to enhance the whole brain segmentation results of any segmentation network. Experimental results on the public Mindboggle-101 dataset demonstrate improved segmentation performance with comparable speed compared to various deep learning methods.",,,https://papers.miccai.org/miccai-2024/paper/2514_paper.pdf,https://papers.miccai.org/miccai-2024/012-Paper2514.html
A Deep Learning Approach for Placing Magnetic Resonance Spectroscopy Voxels in Brain Tumors,"Lee, Sangyoon;Branzoli, Francesca;Nguyen, Thanh;Andronesi, Ovidiu;Lin, Alexander;Liserre, Roberto;Melkus, Gerd;Chen, Clark;Marjańska, Małgorzata;Bolan, Patrick J.",MIC and CAI Solutions for Minimally Trained Healthcare Workers; Clinical applications - Neuroimaging - Others; Clinical applications - Oncology; Image-Guided Interventions and Surgery; Modalities - MRI; Modalities - other,"Magnetic resonance spectroscopy (MRS) of brain tumors provides useful metabolic information for diagnosis, treatment response, and prognosis. Single-voxel MRS requires precise planning of the acquisition volume to produce a high-quality signal localized in the pathology of interest. Appropriate placement of the voxel in a brain tumor is determined by the size and morphology of the tumor, and is guided by MR imaging. Consistent placement of a voxel precisely within a tumor requires substantial expertise in neuroimaging interpretation and MRS methodology. The need for such expertise at the time of scan has contributed to low usage of MRS in clinical practice. In this study, we propose a deep learning method to perform voxel placements in brain tumors. The network is trained in a supervised fashion using a database of voxel placements performed by MRS experts. Our proposed method accurately replicates the voxel placements of experts in tumors with comparable tumor coverage, voxel volume, and voxel position to that of experts. This novel deep learning method can be easily applied without an extensive external validation as it only requires a segmented tumor mask as input.",,,https://papers.miccai.org/miccai-2024/paper/1668_paper.pdf,https://papers.miccai.org/miccai-2024/013-Paper1668.html
A Domain Adaption Approach for EEG-based Automated Seizure Classification with Temporal-Spatial-Spectral Attention,"Fan, Xiaoya;Xu, Pengzhi;Zhao, Qi;Hao, Chenru;Zhao, Zheng;Wang, Zhong","Modalities - EEG/ECG; Computer Aided Diagnosis, Treatment Response, and Outcome Prediction; Machine Learning - Attention models","Electroencephalography (EEG) based automated seizure classification can significantly ameliorate seizure diagnosis and treatment. However, the intra- and inter- subject variability in EEG data make it a challenging task. Especially, a model trained on data from multiple subjects typically degenerates when applied to new subjects. In this study, we propose an attention based deep convolutional neural network with domain adaption to tackle these issues. The model is able to learn domain-invariant temporal-spatial-spectral (TSS) features by jointly optimizing a feature extractor, a seizure classifier and a domain discriminator. The feature extractor extracts multi-level TSS features by an attention module. The domain discriminator is designed to determine which domain, i.e., source or target, the features come from. With a gradient reversal layer, it allows extraction of domain-invariant features. Thus, the classifier is able to give accurate prediction for unseen subjects by leveraging knowledge learned from the source domain. We evaluated our approach using the Temple University Hospital EEG Seizure Corpus (TUSZ) v1.5.2. Results demonstrate that the proposed approach achieves the state-of-the-art performance on seizure classification. The code is available at https://github.com/Dondlut/EEG_DOMAIN.",https://github.com/Dondlut/EEG_DOMAIN,https://isip.piconepress.com/projects/nedc/html/tuh_eeg/,https://papers.miccai.org/miccai-2024/paper/1802_paper.pdf,https://papers.miccai.org/miccai-2024/014-Paper1802.html
A Foundation Model for Brain Lesion Segmentation with Mixture of Modality Experts,"Zhang, Xinru;Ou, Ni;Basaran, Berke Doga;Visentin, Marco;Qiao, Mengyun;Gu, Renyang;Ouyang, Cheng;Liu, Yaou;Matthews, Paul M.;Ye, Chuyang;Bai, Wenjia",Machine Learning - Foundation Models; Clinical applications - Neuroimaging - Others; Image Segmentation; Machine Learning - Interpretability / Explainability; Machine Learning - Transfer Learning; Modalities - MRI,"Brain lesion segmentation plays an essential role in neurological research and diagnosis. As brain lesions can be caused by various pathological alterations, different types of brain lesions tend to manifest with different characteristics on different imaging modalities. Due to this complexity, brain lesion segmentation methods are often developed in a task-specific manner. A specific segmentation model is developed for a particular lesion type and imaging modality. However, the use of task-specific models requires predetermination of the lesion type and imaging modality, which complicates their deployment in real-world scenarios. In this work, we propose a universal foundation model for 3D brain lesion segmentation, which can automatically segment different types of brain lesions for input data of various imaging modalities. We formulate a novel Mixture of Modality Experts (MoME) framework with multiple expert networks attending to different imaging modalities. A hierarchical gating network combines the expert predictions and fosters expertise collaboration. Furthermore, we introduce a curriculum learning strategy during training to avoid the degeneration of each expert network and preserve their specialization. We evaluated the proposed method on nine brain lesion datasets, encompassing five imaging modalities and eight lesion types. The results show that our model outperforms state-of-the-art universal models and provides promising generalization to unseen datasets.",https://github.com/ZhangxinruBIT/MoME,https://fcon_1000.projects.nitrc.org/indi/retro/atlas.html;https://www.isles-challenge.org/;http://www.brainTumoursegmentation.org/;https://wmh.isi.uu.nl/\#_Toc122355653;https://portal.fli-iam.irisa.fr/msseg-challenge/;https://www.oasis-brains.org/,https://papers.miccai.org/miccai-2024/paper/0143_paper.pdf,https://papers.miccai.org/miccai-2024/015-Paper0143.html
A framework for assessing joint human-AI systems based on uncertainty estimation,"Konuk, Emir;Welch, Robert;Christiansen, Filip;Epstein, Elisabeth;Smith, Kevin","Machine Learning - Uncertainty; Clinical applications - Oncology; Computer Aided Diagnosis, Treatment Response, and Outcome Prediction","We investigate the role of uncertainty quantification in aiding medical decision-making. Existing evaluation metrics fail to capture the practical utility of joint human-AI decision-making systems. To address this, we introduce a novel framework to assess such systems and use it to benchmark a diverse set of confidence and uncertainty estimation methods. Our results show that certainty measures enable joint human-AI systems to outperform both standalone humans and AIs, and that for a given system there exists an optimal balance in the number of cases to refer to humans, beyond which the system’s performance degrades.",,,https://papers.miccai.org/miccai-2024/paper/1535_paper.pdf,https://papers.miccai.org/miccai-2024/016-Paper1535.html
A Graph-Embedded Latent Space Learning and Clustering Framework for Incomplete Multimodal Multiclass Alzheimer’s Disease Diagnosis,"Ou, Zaixin;Jiang, Caiwen;Liu, Yuxiao;Zhang, Yuanwang;Cui, Zhiming;Shen, Dinggang",Image Formation and Reconstruction; Clinical applications - Neuroimaging - Others; Modalities - MRI; Modalities - PET/SPECT,"Alzheimer’s disease (AD) is an irreversible neurodegenerative disease, where early diagnosis is crucial for improving prognosis and delaying the progression of the disease. Leveraging multimodal PET images, which can reflect various biomarkers like Aβ and tau protein, is a promising method for AD diagnosis. However, due to the high cost and practical issues of PET imaging, it often faces challenges with incomplete multimodal data. To address this dilemma, in this paper, we propose a Graph-embedded latent Space Learning and Clustering framework, named Graph-SLC, for multiclass AD diagnosis under incomplete multimodal data scenarios. The key concept is leveraging all available subjects, including those with incomplete modality data, to train a network for projecting subjects into their latent representations. These latent representations not only exploit the complementarity of different modalities but also showcase separability among different classes. Specifically, our Graph-SLC consists of three modules, i.e., a multimodal reconstruction module, a subject-similarity graph embedding module, and an AD-oriented latent clustering module. Among them, the multimodal reconstruction module generates subject-specific latent representations that can comprehensively incorporate information from different modalities with guidance from all available modalities. The subject-similarity graph embedding module then enhances the discriminability of different latent representations by ensuring the neighborhood relationships between subjects are preserved in subject-specific latent representations. The AD-oriented latent clustering module facilitates the separability of multiple classes by constraining subject-specific latent representations within the same class to be in the same cluster. Experiments on the ADNI show that our method achieves state-of-the-art performance in multiclass AD diagnosis. Our code is available at https://github.com/Ouzaixin/Graph-SLC.",https://github.com/Ouzaixin/Graph-SLC,https://adni.loni.usc.edu/data-samples/access-data/,https://papers.miccai.org/miccai-2024/paper/1165_paper.pdf,https://papers.miccai.org/miccai-2024/017-Paper1165.html
A Hybrid CNN-Transformer Feature Pyramid Network for Granular Abdominal Aortic Calcification Detection from DXA Images,"Ilyas, Zaid;Saleem, Afsah;Suter, David;Schousboe, John T.;Leslie, William D.;Lewis, Joshua R.;Gilani, Syed Zulqarnain",Machine Learning - Attention models; Modalities - other,"Cardiovascular Diseases (CVDs) stand as the primary global cause of mortality, with Abdominal Aortic Calcification (AAC) being a stable marker of these conditions. AAC can be observed in Dual Energy X-ray absorptiometry (DXA) lateral view Vertebral Fracture Assessment (VFA) scans, usually performed for the detection of vertebral fractures. Early detection of AAC can help reduce the risk of developing clinical CVD by encouraging preventive measures. Recent efforts to automate DXA VFA image analysis for AAC detection are restricted to either predicting an overall AAC score, or they lack performance in granular AAC score prediction. The latter is important in helping clinicians predict CVD associated with the diminished Windkessel effect in the aorta. In this regard, we propose a hybrid Feature Pyramid Network (FPN) based CNN-Transformer architecture (Hybrid-FPN-AACNet) that employs a novel Dual Resolution Self-Attention (DRSA) mechanism to enhance context for self-attention by working on two different resolutions of the input feature map. Moreover, the proposed architecture also employs a novel Efficient Feature Fusion Module (EFFM) that efficiently combines the features from different hierarchies of Hybrid-FPN-AACNet for regression tasks. The proposed architecture has achieved State-Of-The-Art (SOTA) performance at a granular level compared to previous work.",https://github.com/zaidilyas89/Hybrid-FPN-AACNet,,https://papers.miccai.org/miccai-2024/paper/1214_paper.pdf,https://papers.miccai.org/miccai-2024/018-Paper1214.html
A Hyperreflective Foci Segmentation Network for OCT Images with Multi-dimensional Semantic Enhancement,"Wang, Xingguo;Ma, Yuhui;Guo, Xinyu;Zheng, Yalin;Zhang, Jiong;Liu, Yonghuai;Zhao, Yitian",Clinical applications - Ophthalmology; Image Segmentation; Machine Learning - Attention models; Modalities - other; Visualization in Biomedical Imaging,"Diabetic macular edema (DME) is a leading cause of vision loss worldwide. Optical Coherence Tomography (OCT) serves as a widely accepted imaging tool for diagnosing DME due to its non-invasiveness and high resolution cross-sectional view. Clinical evaluation of Hyperreflective Foci (HRF) in OCT contributes to understanding the origins of DME and predicting disease progression or treatment efficacy. However, limited information and a significant imbalance between foreground and background in HRF present challenges for its precise segmentation in OCT images. In this study, we propose an attention mechanism-based MUlti-dimensional Semantic Enhancement Network (MUSE-Net) for HRF segmentation to address these challenges. Specifically, our MUSE-Net comprises attention-based multi-dimensional semantic information enhancement modules and class-imbalance-insensitive joint loss. The adaptive region guidance module softly allocates regional importance in slice, enriching the single-slice semantic information. The adjacent slice guidance module exploits the remote information across consecutive slices, enriching the multi-dimensional semantic information. Class-imbalance-insensitive joint loss combines pixel-level perception optimization with image-level considerations, alleviating the gradient dominance of the background during model training. Our experimental results demonstrate that MUSE-Net outperforms existing methods over two datasets respectively. To further promote the reproducible research, we made the code and these two datasets online available. Keywords: Hyperreflective foci · OCT · Attention · Segmentation",https://github.com/iMED-Lab/MUSEnet-Pytorch,https://github.com/iMED-Lab/MUSEnet-Pytorch,https://papers.miccai.org/miccai-2024/paper/4063_paper.pdf,https://papers.miccai.org/miccai-2024/019-Paper4063.html
A Large-scale Multi Domain Leukemia Dataset for the White Blood Cells Detection with Morphological Attributes for Explainability,"Rehman, Abdul;Meraj, Talha;Minhas, Aiman Mahmood;Imran, Ayisha;Ali, Mohsen;Sultani, Waqas",MIC and CAI Solutions for Remote and Rural Regions; Human-centred AI in Medical Imaging; Low-cost and Point-of-care Imaging Solutions; Machine Learning - Transfer Learning,"Earlier diagnosis of Leukemia can save thousands of lives annually. The prognosis of leukemia is challenging without the morphological information of White Blood Cells (WBC) and relies on the accessibility of expensive microscopes and the availability of hematologists to analyze Peripheral Blood Samples (PBS). Deep Learning based methods can be employed to assist hematologists. However, these algorithms require a large amount of labeled data, which is not readily available. To overcome this limitation, we have acquired a realistic, generalized, and {large} dataset. To collect this comprehensive dataset for real-world applications, two microscopes from two different cost spectrum’s (high-cost: HCM and low-cost: LCM) are used for dataset capturing at three magnifications (100x, 40x,10x) through different sensors (high-end camera for HCM, middle-level camera for LCM and mobile-phone’s camera for both). The high-sensor camera is 47 times more expensive than the middle-level camera and HCM is 17 times more expensive than LCM. In this collection, using HCM at high resolution (100x), experienced hematologists annotated 10.3k WBC of 14 types including artifacts, having 55k morphological labels (Cell Size, Nuclear Chromatin, Nuclear Shape, etc) from 2.4k images of several PBS leukemia patients. Later on, these annotations are transferred to other two magnifications of HCM, and three magnifications of LCM, and on each camera captured images. Along with this proposed LeukemiaAttri dataset, we provide baselines over multiple object detectors and Unsupervised Domain Adaptation (UDA) strategies, along with morphological information-based attribute prediction. The dataset is available at: https://tinyurl.com/586vaw3j",https://github.com/intelligentMachines-ITU/Blood-Cancer-Dataset,https://github.com/intelligentMachines-ITU/Blood-Cancer-Dataset,https://papers.miccai.org/miccai-2024/paper/4180_paper.pdf,https://papers.miccai.org/miccai-2024/020-Paper4180.html
